($M),15,27,39,51,63,75,87,99,111,123,135,147,159,171,183,195,207,219,231,243,255,267,279,291,303,315,327,339,351,363,375,389
1986,,,,,,,,,,,,,,,,,,,,,,"2,510","2,513","2,521","2,528","2,537","2,545","2,551","2,554","2,555","2,552","2,557"
1987,,,,,,,,,,,,,,,,,,,,,"2,834","2,841","2,854","2,853","2,864","2,870","2,877","2,881","2,884","2,882","2,885",
1988,,,,,,,,,,,,,,,,,,,,"3,055","3,066","3,073","3,084","3,089","3,098","3,101","3,106","3,109","3,111","3,108",,
1989,,,,,,,,,,,,,,,,,,,"3,568","3,577","3,593","3,604","3,617","3,629","3,629","3,633","3,633","3,633","3,633",,,
1990,,,,,,,,,,,,,,,,,,"3,979","3,993","4,010","4,020","4,028","4,032","4,041","4,034","4,035","4,037","4,037",,,,
1991,,,,,,,,,,,,,,,,,"4,671","4,688","4,704","4,715","4,720","4,729","4,733","4,740","4,742","4,740","4,738",,,,,
1992,,,,,,,,,,,,,,,,"3,739","3,749","3,765","3,769","3,776","3,787","3,794","3,800","3,798","3,796","3,800",,,,,,
1993,,,,,,,,,,,,,,,"2,993","3,015","3,026","3,034","3,055","3,077","3,080","3,083","3,082","3,075","3,078",,,,,,,
1994,,,,,,,,,,,,,,"3,093","3,103","3,133","3,151","3,169","3,180","3,191","3,199","3,202","3,197","3,193",,,,,,,,
1995,,,,,,,,,,,,,"3,240","3,288","3,316","3,328","3,346","3,370","3,361","3,372","3,373","3,368","3,366",,,,,,,,,
1996,,,,,,,,,,,,"3,645","3,683","3,709","3,729","3,754","3,771","3,787","3,795","3,795","3,798","3,797",,,,,,,,,,
1997,,,,,,,,,,,"4,333","4,387","4,428","4,454","4,480","4,493","4,504","4,504","4,493","4,487","4,483",,,,,,,,,,,
1998,,,,,,,,,,"5,359","5,419","5,478","5,516","5,554","5,590","5,618","5,655","5,658","5,663","5,655",,,,,,,,,,,,
1999,,,,,,,,,"5,923","6,025","6,091","6,149","6,205","6,242","6,286","6,302","6,302","6,296","6,286",,,,,,,,,,,,,
2000,,,,,,,,"6,768","6,867","6,950","7,041","7,113","7,185","7,237","7,267","7,266","7,247","7,246",,,,,,,,,,,,,,
2001,,,,,,,"9,536","9,791","10,001","10,196","10,338","10,461","10,586","10,635","10,628","10,632","10,614",,,,,,,,,,,,,,,
2002,,,,,,"9,442","9,715","9,935","10,134","10,323","10,463","10,561","10,611","10,604","10,613","10,617",,,,,,,,,,,,,,,,
2003,,,,,"8,439","8,782","9,054","9,329","9,576","9,758","9,893","9,977","9,992","10,000","10,014",,,,,,,,,,,,,,,,,
2004,,,,"5,996","6,364","6,665","6,971","7,196","7,372","7,529","7,586","7,623","7,628","7,623",,,,,,,,,,,,,,,,,,
2005,,,"4,606","4,976","5,338","5,678","5,959","6,154","6,293","6,386","6,418","6,445","6,470",,,,,,,,,,,,,,,,,,,
2006,,"4,158","4,759","5,221","5,609","5,928","6,174","6,360","6,459","6,538","6,570","6,591",,,,,,,,,,,,,,,,,,,,
2007,"2,999","4,296","5,109","5,670","6,085","6,445","6,681","6,852","6,947","7,009","7,039",,,,,,,,,,,,,,,,,,,,,
2008,"2,996","4,391","5,319","5,936","6,394","6,726","6,934","7,067","7,136","7,189",,,,,,,,,,,,,,,,,,,,,,
2009,"2,823","4,283","5,150","5,816","6,250","6,542","6,695","6,794","6,858",,,,,,,,,,,,,,,,,,,,,,,
2010,"2,919","4,421","5,425","6,048","6,445","6,680","6,833","6,925",,,,,,,,,,,,,,,,,,,,,,,,
2011,"2,921","4,464","5,362","5,928","6,263","6,437","6,543",,,,,,,,,,,,,,,,,,,,,,,,,
2012,"3,124","4,654","5,490","5,952","6,276","6,454",,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"3,358","4,859","5,602","6,072","6,309",,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"3,448","4,963","5,823","6,282",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"3,695","5,306","6,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"3,824","5,392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"3,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
